id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-11-29T02:17:56;Loop;CANCELLED;PAYPAL;2021-11-28T20:38:21;22604
2;calculating;2021-11-29T02:46:19;haptic 1080p;ISSUED;PAYPAL;2021-11-28T13:59:59;10489
3;national Frozen Berkshire;2021-11-29T03:01:09;Account Borders Home;PAID;CREDIT_CARD;2021-11-28T17:44:00;36325
4;monitor;2021-11-28T13:03:45;parse intuitive Division;CANCELLED;PAYPAL;2021-11-28T14:38:46;13687
5;synergy transmitting;2021-11-28T13:06:00;parse Gloves;ISSUED;PAYPAL;2021-11-28T21:42:38;92472
6;function;2021-11-28T17:59:28;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-11-29T05:06:29;26944
7;Maine;2021-11-29T04:25:51;RAM;ISSUED;PAYPAL;2021-11-29T09:27:43;32458
8;Analyst Agent;2021-11-29T08:20:33;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-11-29T05:22:15;79389
9;Salad;2021-11-28T14:29:15;Gorgeous;ISSUED;CREDIT_CARD;2021-11-28T23:15:39;62169
10;Pants Wooden Intuitive;2021-11-28T23:53:12;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-11-28T19:47:49;58737
