id;placed_date;status;code;invoice_id;customer_id
1;2021-11-29T00:31:30;COMPLETED;Electronics;57858;1
2;2021-11-29T04:09:30;CANCELLED;withdrawal virtual;42917;2
3;2021-11-28T11:11:50;COMPLETED;compress Soft cross-platform;960;1
4;2021-11-28T21:21:22;COMPLETED;Expanded;88753;2
5;2021-11-28T17:29:32;CANCELLED;Hat;10576;1
6;2021-11-28T18:08:18;PENDING;Regional harness Holy;55347;2
7;2021-11-28T10:09:05;COMPLETED;Decentralized Visionary;88231;2
8;2021-11-28T12:28:04;COMPLETED;Credit Soft Cotton;23331;1
9;2021-11-28T15:56:30;PENDING;Implemented;30578;2
10;2021-11-29T04:08:23;PENDING;solution protocol;72463;2
